method,route,function,framework,path
GET,/,root,fastapi,backend/app/main.py
GET,/,,express,backend/app/main.py
GET,/,list_api_keys,fastapi,backend/app/api/api_keys.py
GET,/,,express,backend/app/api/api_keys.py
GET,/,list_audit_logs,fastapi,backend/app/api/audit.py
GET,/,,express,backend/app/api/audit.py
GET,/,get_branding_settings,fastapi,backend/app/api/branding.py
GET,/,,express,backend/app/api/branding.py
GET,/,list_roles,fastapi,backend/app/api/roles.py
GET,/,,express,backend/app/api/roles.py
POST,/,create_api_key,fastapi,backend/app/api/api_keys.py
POST,/,,express,backend/app/api/api_keys.py
POST,/,create_role,fastapi,backend/app/api/roles.py
POST,/,,express,backend/app/api/roles.py
PUT,/,update_branding_settings,fastapi,backend/app/api/branding.py
PUT,/,,express,backend/app/api/branding.py
POST,/add-user-role-column,add_user_role_column,fastapi,backend/app/api/admin.py
POST,/add-user-role-column,,express,backend/app/api/admin.py
GET,/ai-analysis,get_ai_analysis,fastapi,backend/app/api/monitor.py
GET,/ai-analysis,,express,backend/app/api/monitor.py
GET,/api/debug/db-tables,debug_db_tables,fastapi,backend/app/main.py
GET,/api/debug/db-tables,,express,backend/app/main.py
GET,/api/debug/routes,debug_routes,fastapi,backend/app/main.py
GET,/api/debug/routes,,express,backend/app/main.py
POST,/bulk,create_keywords_bulk,fastapi,backend/app/api/keywords.py
POST,/bulk,,express,backend/app/api/keywords.py
GET,/categories,list_service_categories,fastapi,backend/app/api/services.py
GET,/categories,,express,backend/app/api/services.py
POST,/categories,create_service_category,fastapi,backend/app/api/services.py
POST,/categories,,express,backend/app/api/services.py
DELETE,/categories/{category_id},delete_service_category,fastapi,backend/app/api/services.py
DELETE,/categories/{category_id},,express,backend/app/api/services.py
GET,/categories/{category_id},get_service_category,fastapi,backend/app/api/services.py
GET,/categories/{category_id},,express,backend/app/api/services.py
PUT,/categories/{category_id},update_service_category,fastapi,backend/app/api/services.py
PUT,/categories/{category_id},,express,backend/app/api/services.py
POST,/chat,chat_with_brand_assistant,fastapi,backend/app/api/ai_chat.py
POST,/chat,,express,backend/app/api/ai_chat.py
GET,/check-admin-status,check_admin_status,fastapi,backend/app/api/admin.py
GET,/check-admin-status,,express,backend/app/api/admin.py
DELETE,/cleanup,cleanup_old_logs,fastapi,backend/app/api/audit.py
DELETE,/cleanup,,express,backend/app/api/audit.py
GET,/dashboard,get_monitor_dashboard,fastapi,backend/app/api/monitor.py
GET,/dashboard,,express,backend/app/api/monitor.py
GET,/dashboard-summary,get_service_dashboard_summary,fastapi,backend/app/api/services.py
GET,/dashboard-summary,,express,backend/app/api/services.py
PUT,/deliverables/{deliverable_id},update_service_deliverable,fastapi,backend/app/api/services.py
PUT,/deliverables/{deliverable_id},,express,backend/app/api/services.py
GET,/email,get_email_settings,fastapi,backend/app/api/settings.py
GET,/email,,express,backend/app/api/settings.py
PUT,/email,update_email_settings,fastapi,backend/app/api/settings.py
PUT,/email,,express,backend/app/api/settings.py
POST,/email/test,test_email_settings,fastapi,backend/app/api/settings.py
POST,/email/test,,express,backend/app/api/settings.py
GET,/fix-db,fix_database_schema,fastapi,backend/app/api/mentions.py
GET,/fix-db,,express,backend/app/api/mentions.py
POST,/generate-brief,generate_executive_brief,fastapi,backend/app/api/ai.py
POST,/generate-brief,,express,backend/app/api/ai.py
POST,/generate-draft,generate_legal_draft,fastapi,backend/app/api/takedown.py
POST,/generate-draft,,express,backend/app/api/takedown.py
GET,/groups,list_keyword_groups,fastapi,backend/app/api/keywords.py
GET,/groups,,express,backend/app/api/keywords.py
GET,/groups,list_source_groups,fastapi,backend/app/api/sources.py
GET,/groups,,express,backend/app/api/sources.py
POST,/groups,create_keyword_group,fastapi,backend/app/api/keywords.py
POST,/groups,,express,backend/app/api/keywords.py
POST,/groups,create_source_group,fastapi,backend/app/api/sources.py
POST,/groups,,express,backend/app/api/sources.py
DELETE,/groups/{group_id},delete_keyword_group,fastapi,backend/app/api/keywords.py
DELETE,/groups/{group_id},,express,backend/app/api/keywords.py
DELETE,/groups/{group_id},delete_source_group,fastapi,backend/app/api/sources.py
DELETE,/groups/{group_id},,express,backend/app/api/sources.py
GET,/groups/{group_id},get_keyword_group,fastapi,backend/app/api/keywords.py
GET,/groups/{group_id},,express,backend/app/api/keywords.py
GET,/groups/{group_id},get_source_group,fastapi,backend/app/api/sources.py
GET,/groups/{group_id},,express,backend/app/api/sources.py
PUT,/groups/{group_id},update_keyword_group,fastapi,backend/app/api/keywords.py
PUT,/groups/{group_id},,express,backend/app/api/keywords.py
PUT,/groups/{group_id},update_source_group,fastapi,backend/app/api/sources.py
PUT,/groups/{group_id},,express,backend/app/api/sources.py
DELETE,/groups/{group_id}/keywords,delete_all_keywords_in_group,fastapi,backend/app/api/keywords.py
DELETE,/groups/{group_id}/keywords,,express,backend/app/api/keywords.py
GET,/groups/{group_id}/keywords,list_keywords_in_group,fastapi,backend/app/api/keywords.py
GET,/groups/{group_id}/keywords,,express,backend/app/api/keywords.py
GET,/health,health_check,fastapi,backend/app/main.py
GET,/health,,express,backend/app/main.py
GET,/hot-keywords,get_hot_keywords,fastapi,backend/app/api/dashboard.py
GET,/hot-keywords,,express,backend/app/api/dashboard.py
GET,/incident/{incident_id},list_evidence,fastapi,backend/app/api/evidence.py
GET,/incident/{incident_id},,express,backend/app/api/evidence.py
GET,/jobs,get_crawl_jobs,fastapi,backend/app/api/crawl.py
GET,/jobs,,express,backend/app/api/crawl.py
POST,/jobs/{job_id}/retry,retry_crawl_job,fastapi,backend/app/api/crawl.py
POST,/jobs/{job_id}/retry,,express,backend/app/api/crawl.py
GET,/latest-alerts,get_latest_alerts,fastapi,backend/app/api/dashboard.py
GET,/latest-alerts,,express,backend/app/api/dashboard.py
GET,/latest-mentions,get_latest_mentions,fastapi,backend/app/api/dashboard.py
GET,/latest-mentions,,express,backend/app/api/dashboard.py
GET,/leaderboard,get_influencers_leaderboard,fastapi,backend/app/api/influencers.py
GET,/leaderboard,,express,backend/app/api/influencers.py
POST,/login,login,fastapi,backend/app/api/auth.py
POST,/login,,express,backend/app/api/auth.py
POST,/manual-scan,manual_scan,fastapi,backend/app/api/crawl.py
POST,/manual-scan,,express,backend/app/api/crawl.py
GET,/me,get_current_user_info,fastapi,backend/app/api/auth.py
GET,/me,,express,backend/app/api/auth.py
POST,/me/change-password,change_my_password,fastapi,backend/app/api/auth.py
POST,/me/change-password,,express,backend/app/api/auth.py
POST,/me/logout-other-sessions,logout_other_sessions,fastapi,backend/app/api/auth.py
POST,/me/logout-other-sessions,,express,backend/app/api/auth.py
GET,/me/notification-settings,get_my_notification_settings,fastapi,backend/app/api/auth.py
GET,/me/notification-settings,,express,backend/app/api/auth.py
PUT,/me/notification-settings,update_my_notification_settings,fastapi,backend/app/api/auth.py
PUT,/me/notification-settings,,express,backend/app/api/auth.py
GET,/me/preferences,get_my_preferences,fastapi,backend/app/api/auth.py
GET,/me/preferences,,express,backend/app/api/auth.py
PUT,/me/preferences,update_my_preferences,fastapi,backend/app/api/auth.py
PUT,/me/preferences,,express,backend/app/api/auth.py
PUT,/me/profile,update_my_profile,fastapi,backend/app/api/auth.py
PUT,/me/profile,,express,backend/app/api/auth.py
GET,/me/sessions,get_my_sessions,fastapi,backend/app/api/auth.py
GET,/me/sessions,,express,backend/app/api/auth.py
POST,/me/sessions/{session_id}/revoke,revoke_session,fastapi,backend/app/api/auth.py
POST,/me/sessions/{session_id}/revoke,,express,backend/app/api/auth.py
GET,/notifications,get_system_notification_settings,fastapi,backend/app/api/settings.py
GET,/notifications,,express,backend/app/api/settings.py
PUT,/notifications,update_system_notification_settings,fastapi,backend/app/api/settings.py
PUT,/notifications,,express,backend/app/api/settings.py
POST,/notifications/test,test_notification_settings,fastapi,backend/app/api/settings.py
POST,/notifications/test,,express,backend/app/api/settings.py
GET,/organization,get_organization_settings,fastapi,backend/app/api/settings.py
GET,/organization,,express,backend/app/api/settings.py
PUT,/organization,update_organization_settings,fastapi,backend/app/api/settings.py
PUT,/organization,,express,backend/app/api/settings.py
GET,/permissions/available,list_available_permissions,fastapi,backend/app/api/roles.py
GET,/permissions/available,,express,backend/app/api/roles.py
GET,/records,list_takedown_records,fastapi,backend/app/api/takedown.py
GET,/records,,express,backend/app/api/takedown.py
POST,/records,create_takedown_record,fastapi,backend/app/api/takedown.py
POST,/records,,express,backend/app/api/takedown.py
PUT,/records/{record_id}/status,update_takedown_status,fastapi,backend/app/api/takedown.py
PUT,/records/{record_id}/status,,express,backend/app/api/takedown.py
POST,/register,register,fastapi,backend/app/api/auth.py
POST,/register,,express,backend/app/api/auth.py
GET,/requests,list_service_requests,fastapi,backend/app/api/services.py
GET,/requests,,express,backend/app/api/services.py
POST,/requests,create_service_request,fastapi,backend/app/api/services.py
POST,/requests,,express,backend/app/api/services.py
GET,/requests/{request_id},get_service_request,fastapi,backend/app/api/services.py
GET,/requests/{request_id},,express,backend/app/api/services.py
PUT,/requests/{request_id},update_service_request,fastapi,backend/app/api/services.py
PUT,/requests/{request_id},,express,backend/app/api/services.py
POST,/requests/{request_id}/approve,approve_service_request,fastapi,backend/app/api/services.py
POST,/requests/{request_id}/approve,,express,backend/app/api/services.py
POST,/requests/{request_id}/cancel,cancel_service_request,fastapi,backend/app/api/services.py
POST,/requests/{request_id}/cancel,,express,backend/app/api/services.py
POST,/requests/{request_id}/complete,complete_service_request,fastapi,backend/app/api/services.py
POST,/requests/{request_id}/complete,,express,backend/app/api/services.py
