method,url,path,line
POST,/api/auth/login,frontend/src/lib/api.ts,104
POST,/api/auth/register,frontend/src/lib/api.ts,113
GET,/api/auth/me,frontend/src/lib/api.ts,120
GET,/api/dashboard/summary,frontend/src/lib/api.ts,128
GET,/api/dashboard/trends,frontend/src/lib/api.ts,132
GET,/api/dashboard/sentiment-summary,frontend/src/lib/api.ts,136
GET,/api/dashboard/hot-keywords,frontend/src/lib/api.ts,140
GET,/api/dashboard/sidebar-badges,frontend/src/lib/api.ts,144
GET,/api/keywords/groups,frontend/src/lib/api.ts,152
POST,/api/keywords/groups,frontend/src/lib/api.ts,156
PUT,/api/keywords/groups/${id},frontend/src/lib/api.ts,160
DELETE,/api/keywords/groups/${id},frontend/src/lib/api.ts,164
GET,/api/keywords/groups/${groupId}/keywords,frontend/src/lib/api.ts,168
POST,/api/keywords,frontend/src/lib/api.ts,172
POST,/api/keywords/bulk,frontend/src/lib/api.ts,176
PUT,/api/keywords/${id},frontend/src/lib/api.ts,180
DELETE,/api/keywords/${id},frontend/src/lib/api.ts,184
GET,/api/sources/groups,frontend/src/lib/api.ts,193
POST,/api/sources/groups,frontend/src/lib/api.ts,197
PUT,/api/sources/groups/${id},frontend/src/lib/api.ts,201
DELETE,/api/sources/groups/${id},frontend/src/lib/api.ts,205
GET,/api/sources,frontend/src/lib/api.ts,210
GET,/api/sources/${id},frontend/src/lib/api.ts,214
POST,/api/sources,frontend/src/lib/api.ts,224
PUT,/api/sources/${id},frontend/src/lib/api.ts,233
DELETE,/api/sources/${id},frontend/src/lib/api.ts,237
POST,/api/sources/${id}/test,frontend/src/lib/api.ts,241
POST,/api/sources/${id}/scan,frontend/src/lib/api.ts,245
POST,/api/crawl/manual-scan,frontend/src/lib/api.ts,254
GET,/api/crawl/scan-history,frontend/src/lib/api.ts,258
GET,/api/crawl/jobs,frontend/src/lib/api.ts,262
POST,/api/crawl/jobs/${jobId}/retry,frontend/src/lib/api.ts,266
GET,/api/system/worker-status,frontend/src/lib/api.ts,270
GET,/api/crawl/scheduler/status,frontend/src/lib/api.ts,274
POST,/api/crawl/test-feed,frontend/src/lib/api.ts,278
GET,/api/mentions,frontend/src/lib/api.ts,286
GET,/api/mentions/${id},frontend/src/lib/api.ts,290
DELETE,/api/mentions/${id},frontend/src/lib/api.ts,294
POST,/api/mentions/${id}/analyze,frontend/src/lib/api.ts,298
POST,/api/mentions/${id}/create-alert,frontend/src/lib/api.ts,302
POST,/api/mentions/${id}/create-incident,frontend/src/lib/api.ts,306
POST,/api/mentions/${id}/mark-reviewed,frontend/src/lib/api.ts,310
GET,/api/alerts,frontend/src/lib/api.ts,318
GET,/api/alerts/${id},frontend/src/lib/api.ts,322
POST,/api/alerts,frontend/src/lib/api.ts,327
POST,/api/alerts/${id}/acknowledge,frontend/src/lib/api.ts,331
POST,/api/alerts/${id}/resolve,frontend/src/lib/api.ts,335
DELETE,/api/alerts/${id},frontend/src/lib/api.ts,339
POST,/api/alerts/${id}/ignore,frontend/src/lib/api.ts,343
POST,/api/alerts/${id}/create-incident,frontend/src/lib/api.ts,347
GET,/api/incidents,frontend/src/lib/api.ts,355
GET,/api/incidents/${id},frontend/src/lib/api.ts,359
POST,/api/incidents,frontend/src/lib/api.ts,364
PUT,/api/incidents/${id},frontend/src/lib/api.ts,369
DELETE,/api/incidents/${id},frontend/src/lib/api.ts,373
POST,/api/incidents/${id}/close,frontend/src/lib/api.ts,377
GET,/api/incidents/${id}/logs,frontend/src/lib/api.ts,381
POST,/api/incidents/${id}/logs,frontend/src/lib/api.ts,385
